id,title,desc,image,category_id
,BACKLIT UNIT WITH LOCKABLE RODS,"The optical display boards are a new concept for eyewear display. A typical eyeglass display board is a comparatively thin wooden,glass or acrylci base with several eyewear display rods fixed on it, can easily mount on a wall. Within this practical floating-style display panel, optical eyeglass and sunglass frames were no longer restricted to the forms of shelves and brackets that could only fit into fixed cases or limited surroundings.",product_imgs/1.jpeg,3
,Optic Display,"The optical display boards are a new concept for eyewear display. A typical eyeglass display board is a comparatively thin wooden,glass or acrylci base with several eyewear display rods fixed on it, can easily mount on a wall. Within this practical floating-style display panel, optical eyeglass and sunglass frames were no longer restricted to the forms of shelves and brackets that could only fit into fixed cases or limited surroundings.",product_imgs/2_aJg0RGz.jpg,3
,Optic Display,"The optical display boards are a new concept for eyewear display. A typical eyeglass display board is a comparatively thin wooden,glass or acrylci base with several eyewear display rods fixed on it, can easily mount on a wall. Within this practical floating-style display panel, optical eyeglass and sunglass frames were no longer restricted to the forms of shelves and brackets that could only fit into fixed cases or limited surroundings.",product_imgs/3.jpeg,3
,Optic Display,"The optical display boards are a new concept for eyewear display. A typical eyeglass display board is a comparatively thin wooden,glass or acrylci base with several eyewear display rods fixed on it, can easily mount on a wall. Within this practical floating-style display panel, optical eyeglass and sunglass frames were no longer restricted to the forms of shelves and brackets that could only fit into fixed cases or limited surroundings.",product_imgs/4.jpeg,3
,Optic Display,"The optical display boards are a new concept for eyewear display. A typical eyeglass display board is a comparatively thin wooden,glass or acrylci base with several eyewear display rods fixed on it, can easily mount on a wall. Within this practical floating-style display panel, optical eyeglass and sunglass frames were no longer restricted to the forms of shelves and brackets that could only fit into fixed cases or limited surroundings.",product_imgs/5.jpeg,3
,Fragrance Display,"We use thick, clear, high quality AA grade new acrylic/Lucite acrylic making this rack , density 89 degree that making it not only look great, but also durable and tough",product_imgs/1_hF8hVCc.jpg,4
,Fragrance Display,"We use thick, clear, high quality AA grade new acrylic/Lucite acrylic making this rack , density 89 degree that making it not only look great, but also durable and tough",product_imgs/2_EnH3phD.jpg,4
,COSMETICS Display,"Cosmetics merchandising plays an integral role in how customers view beauty products during their shopping experience. The visual merchandising of your store needs to convey the true essence of your brand identity to the consumer. In addition to thoughtful design, it’s also essential that the merchandising strategy has to be optimized to monitor product availability.",product_imgs/Cosmetic-Stand-2.jpg,5
,COSMETICS Display,"Cosmetics merchandising plays an integral role in how customers view beauty products during their shopping experience. The visual merchandising of your store needs to convey the true essence of your brand identity to the consumer. In addition to thoughtful design, it’s also essential that the merchandising strategy has to be optimized to monitor product availability.",product_imgs/Cosmetic-Stand-4.jpg,5
,COSMETICS Display,"Cosmetics merchandising plays an integral role in how customers view beauty products during their shopping experience. The visual merchandising of your store needs to convey the true essence of your brand identity to the consumer. In addition to thoughtful design, it’s also essential that the merchandising strategy has to be optimized to monitor product availability.",product_imgs/Cosmetic-Stand-6.jpg,5
